feature_index,old_feature_name,old_feature_group,importance_mean_pr_auc_drop,importance_sd_pr_auc_drop,feature_name,feature_group
204,genomic_feature_204,Other_basic,-0.000399,0.000448,genomic_feature_4,Other_basic
116,genomic_feature_116,Other_basic,-0.000399,0.000542,genomic_feature_331,Other_basic
126,genomic_feature_126,Other_basic,-0.000403,0.000487,genomic_feature_107,Other_basic
124,genomic_feature_124,Other_basic,-0.000406,0.000429,genomic_feature_222,Other_basic
134,genomic_feature_134,Other_basic,-0.000409,0.000809,genomic_feature_43,Other_basic
307,genomic_feature_307,Other_basic,-0.000412,0.000733,genomic_feature_179,Other_basic
89,genomic_feature_89,Other_basic,-0.000421,0.000738,genomic_feature_250,Other_basic
13,genomic_feature_13,Other_basic,-0.000421,0.001153,genomic_feature_326,Other_basic
257,genomic_feature_257,Other_basic,-0.000437,0.000914,genomic_feature_215,Other_basic
152,genomic_feature_152,Other_basic,-0.000437,0.000379,genomic_feature_231,Other_basic
147,genomic_feature_147,Other_basic,-0.000452,0.000398,genomic_feature_293,Other_basic
167,genomic_feature_167,Other_basic,-0.000466,0.00062,genomic_feature_45,Other_basic
218,genomic_feature_218,Other_basic,-0.00047,0.00089,genomic_feature_321,Other_basic
209,genomic_feature_209,Other_basic,-0.00047,0.000478,genomic_feature_267,Other_basic
327,genomic_feature_327,Other_basic,-0.000483,0.000543,genomic_feature_2,Other_basic
40,genomic_feature_40,Other_basic,-0.000485,0.000479,genomic_feature_51,Other_basic
205,genomic_feature_205,Other_basic,-0.000487,0.001736,genomic_feature_266,Other_basic
243,genomic_feature_243,Other_basic,-0.000497,0.00062,genomic_feature_330,Other_basic
170,genomic_feature_170,Other_basic,-0.000502,0.000654,genomic_feature_306,Other_basic
329,genomic_feature_329,Other_basic,-0.000505,0.000626,genomic_feature_252,Other_basic
93,genomic_feature_93,Other_basic,-0.000507,0.001062,genomic_feature_317,Other_basic
240,genomic_feature_240,Other_basic,-0.000507,0.000308,genomic_feature_72,Other_basic
308,genomic_feature_308,Other_basic,-0.000512,0.00047,genomic_feature_127,Other_basic
70,genomic_feature_70,Other_basic,-0.000519,0.000666,genomic_feature_273,Other_basic
150,genomic_feature_150,Other_basic,-0.000523,0.000839,genomic_feature_261,Other_basic
201,genomic_feature_201,Other_basic,-0.00053,0.000951,genomic_feature_31,Other_basic
6,genomic_feature_6,Other_basic,-0.000534,0.000801,genomic_feature_153,Other_basic
97,genomic_feature_97,Other_basic,-0.000551,0.000696,genomic_feature_180,Other_basic
143,genomic_feature_143,Other_basic,-0.000552,0.000686,genomic_feature_287,Other_basic
211,genomic_feature_211,Other_basic,-0.000553,0.000461,genomic_feature_346,Other_basic
114,genomic_feature_114,Other_basic,-0.000554,0.000606,genomic_feature_182,Other_basic
198,genomic_feature_198,Other_basic,-0.00056,0.000511,genomic_feature_232,Other_basic
90,genomic_feature_90,Other_basic,-0.000564,0.000543,genomic_feature_242,Other_basic
55,genomic_feature_55,Other_basic,-0.000573,0.000609,genomic_feature_199,Other_basic
179,genomic_feature_179,Other_basic,-0.000574,0.000913,genomic_feature_131,Other_basic
127,genomic_feature_127,Other_basic,-0.000575,0.000544,genomic_feature_48,Other_basic
156,genomic_feature_156,Other_basic,-0.000593,0.000949,genomic_feature_310,Other_basic
64,genomic_feature_64,Other_basic,-0.000594,0.00155,genomic_feature_197,Other_basic
195,genomic_feature_195,Other_basic,-0.000603,0.001275,genomic_feature_343,Other_basic
172,genomic_feature_172,Other_basic,-0.000611,0.000504,genomic_feature_95,Other_basic
159,genomic_feature_159,Other_basic,-0.000616,0.000359,genomic_feature_87,Other_basic
297,genomic_feature_297,Other_basic,-0.000625,0.000566,genomic_feature_150,Other_basic
249,genomic_feature_249,Other_basic,-0.000625,0.000506,genomic_feature_101,Other_basic
46,genomic_feature_46,Other_basic,-0.000627,0.000798,genomic_feature_353,Other_basic
74,genomic_feature_74,Other_basic,-0.000631,0.00223,genomic_feature_274,Other_basic
213,genomic_feature_213,Other_basic,-0.000694,0.000408,genomic_feature_342,Other_basic
52,genomic_feature_52,Other_basic,-0.000702,0.000667,genomic_feature_96,Other_basic
239,genomic_feature_239,Other_basic,-0.000709,0.000578,genomic_feature_276,Other_basic
305,genomic_feature_305,Other_basic,-0.00071,0.000378,genomic_feature_90,Other_basic
119,genomic_feature_119,Other_basic,-0.000711,0.000498,genomic_feature_200,Other_basic
173,genomic_feature_173,Other_basic,-0.000717,0.0007,genomic_feature_246,Other_basic
