sample_index,gene_symbol,true_label,mean_percentile_rank,sd_percentile_rank,mean_rank,best_rank,consensus_rank,external_sets_x,n_external_sets_x,is_external_supported,n_curated_pathways,curated_pathways,is_pathway_supported,n_external_sets_y,external_sets_y,n_external_sets,external_sets,relabel_audit_priority,external_evidence_strength,case_interpretation
1641,IGF2BP2,0,0.15554,0.10689,1525.25,1247,1638,Known_T2D_GWAS_or_genetic_risk,1,False,1,Known_T2D_GWAS_loci,True,1.0,Known_T2D_GWAS_or_genetic_risk,0,,low,single_source,Lower-priority / background candidate
1133,HK1,0,0.14862,0.13011,1537.75,1210,1656,Glucose_metabolism_transport_or_insulin_secretion,1,False,1,Glucose_metabolism_transport,True,1.0,Glucose_metabolism_transport_or_insulin_secretion,0,,low,single_source,Lower-priority / background candidate
851,NDUFA8,0,0.13283,0.23876,1566.25,920,1669,Mitochondrial_OXPHOS_complex_I,1,False,1,Mitochondrial_complex_I_OXPHOS,True,1.0,Mitochondrial_OXPHOS_complex_I,0,,low,single_source,Lower-priority / background candidate
657,NDUFA6,0,0.12174,0.03112,1586.25,1540,1690,Mitochondrial_OXPHOS_complex_I,1,False,1,Mitochondrial_complex_I_OXPHOS,True,1.0,Mitochondrial_OXPHOS_complex_I,0,,low,single_source,Lower-priority / background candidate
950,HNF4A,0,0.12119,0.01512,1587.25,1562,1692,Beta_cell_function_or_development,1,False,1,Beta_cell_function_development,True,1.0,Beta_cell_function_or_development,0,,low,single_source,Lower-priority / background candidate
134,FTO,0,0.11219,0.05289,1603.5,1497,1702,Known_T2D_GWAS_or_genetic_risk,1,False,1,Known_T2D_GWAS_loci,True,1.0,Known_T2D_GWAS_or_genetic_risk,0,,low,single_source,Lower-priority / background candidate
1587,NDUFS1,0,0.10512,0.09042,1616.25,1373,1713,Mitochondrial_OXPHOS_complex_I,1,False,1,Mitochondrial_complex_I_OXPHOS,True,1.0,Mitochondrial_OXPHOS_complex_I,0,,low,single_source,Lower-priority / background candidate
1144,TCF7L2,0,0.10138,0.11928,1623.0,1319,1721,Known_T2D_GWAS_or_genetic_risk,1,False,1,Known_T2D_GWAS_loci,True,1.0,Known_T2D_GWAS_or_genetic_risk,0,,low,single_source,Lower-priority / background candidate
512,PIK3R1,0,0.06094,0.02332,1696.0,1640,1771,Glucose_metabolism_transport_or_insulin_secretion,1,False,1,Insulin_signalling,True,1.0,Glucose_metabolism_transport_or_insulin_secretion,0,,low,single_source,Lower-priority / background candidate
1482,PCSK1,0,0.02119,0.01516,1767.75,1742,1800,Beta_cell_function_or_development; Glucose_metabolism_transport_or_insulin_secretion,2,False,2,Beta_cell_function_development; Insulin_secretion_KATP_Ca,True,2.0,Beta_cell_function_or_development; Glucose_metabolism_transport_or_insulin_secretion,0,,low,moderate_two_source,Lower-priority / background candidate
