model,n,accuracy,precision,recall_sensitivity,specificity,f1,roc_auc,pr_auc,mcc,tn,fp,fn,tp,threshold
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.12700000000000006
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.12800000000000006
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.12900000000000006
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.13000000000000006
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.13100000000000006
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.13200000000000006
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.13300000000000006
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.13400000000000006
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.13500000000000006
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.13600000000000007
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.13700000000000007
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.13800000000000007
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.13900000000000007
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.14000000000000007
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.14100000000000007
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.14200000000000007
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.14300000000000007
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.14400000000000007
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.14500000000000007
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.14600000000000007
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.14700000000000008
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.14800000000000008
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.14900000000000008
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.15000000000000008
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.15100000000000008
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.15200000000000008
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.15300000000000008
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.15400000000000008
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.15500000000000008
