model,threshold,accuracy,precision,recall_sensitivity,specificity,f1,roc_auc,pr_auc,mcc,tn,fp,fn,tp,permuted_block,repeat_id,roc_auc_drop,pr_auc_drop,f1_drop,mcc_drop,accuracy_drop
Genomic block permuted,0.5,0.6863468634686347,0.6838235294117647,0.6888888888888889,0.6838235294117647,0.6863468634686347,0.7203159041394335,0.7338834528715639,0.3727124183006536,93,43,42,93,genomic_block,24,0.008660130718954329,0.023369457798111393,-0.027343032051010185,-0.028949436912463322,-0.014760147601476037
Protein block permuted,0.5,0.5461254612546126,0.546875,0.5185185185185185,0.5735294117647058,0.532319391634981,0.5787581699346405,0.5875186451696646,0.0921886303352089,78,58,65,70,protein_block,25,0.15021786492374734,0.1697342655000107,0.12668443978264354,0.25157435105298137,0.1254612546125461
Genomic block permuted,0.5,0.6678966789667896,0.6717557251908397,0.6518518518518519,0.6838235294117647,0.6616541353383458,0.7148148148148149,0.7466240996483358,0.3358583604983904,93,43,47,88,genomic_block,25,0.014161220043572897,0.010628811021339502,-0.0026503039207212975,0.007904620889799874,0.0036900369003690647
Protein block permuted,0.5,0.5055350553505535,0.5037037037037037,0.5037037037037037,0.5073529411764706,0.5037037037037037,0.5248910675381264,0.5357658510547578,0.011056644880174292,69,67,67,68,protein_block,26,0.20408496732026138,0.22148705961491744,0.15530012771392088,0.332706336508016,0.16605166051660514
Genomic block permuted,0.5,0.6383763837638377,0.6390977443609023,0.6296296296296297,0.6470588235294118,0.6343283582089553,0.6863289760348584,0.6803326928888338,0.27673367477463456,88,48,50,85,genomic_block,26,0.04264705882352937,0.07692021778084146,0.024675473208669252,0.06702930661355572,0.03321033210332103
Protein block permuted,0.5,0.5719557195571956,0.5703703703703704,0.5703703703703704,0.5735294117647058,0.5703703703703704,0.592755991285403,0.574049036632458,0.14389978213507626,78,58,58,77,protein_block,27,0.13622004357298478,0.18320387403721727,0.08863346104725411,0.19986319925311402,0.09963099630996308
Genomic block permuted,0.5,0.6531365313653137,0.6589147286821705,0.6296296296296297,0.6764705882352942,0.6439393939393939,0.7055555555555554,0.6909208460073091,0.30645093432745985,92,44,50,85,genomic_block,27,0.02342047930283242,0.06633206466236619,0.015064437478230608,0.037312047060730436,0.01845018450184499
Protein block permuted,0.5,0.5313653136531366,0.53125,0.5037037037037037,0.5588235294117647,0.5171102661596958,0.5661764705882353,0.5580821860935858,0.0626228092454555,76,60,67,68,protein_block,28,0.16279956427015252,0.19917072457608942,0.14189356525792873,0.2811401721427348,0.14022140221402213
Genomic block permuted,0.5,0.6346863468634686,0.6343283582089553,0.6296296296296297,0.6397058823529411,0.6319702602230484,0.7104575163398692,0.7258062336961577,0.26935018287137885,87,49,50,85,genomic_block,28,0.0185185185185186,0.03144667697351755,0.027033571194576167,0.07441279851681143,0.03690036900369009
Protein block permuted,0.5,0.5461254612546126,0.5441176470588235,0.5481481481481482,0.5441176470588235,0.5461254612546126,0.5781590413943355,0.5541277610441884,0.09226579520697167,74,62,61,74,protein_block,29,0.1508169934640523,0.2031251496254869,0.11287837016301194,0.25149718618121863,0.1254612546125461
Genomic block permuted,0.5,0.6420664206642066,0.6461538461538462,0.6222222222222222,0.6617647058823529,0.6339622641509434,0.7003812636165577,0.7271163049520395,0.2842192282891071,90,46,51,84,genomic_block,29,0.028594771241830075,0.030136605717635767,0.025041567266681164,0.05954375309908316,0.029520295202952074
