feature_index,feature_name,coefficient,abs_coefficient,block,feature_group
1291,dnabert2_emb_267,0.31189276,0.31189276,Genomic_DNABERT2_block,DNABERT2_embedding
1268,dnabert2_emb_244,0.3114622,0.3114622,Genomic_DNABERT2_block,DNABERT2_embedding
966,protein_emb_966,0.31059742,0.31059742,Protein_ProtBERT_SW_block,Protein_embedding
1236,dnabert2_emb_212,0.31038715,0.31038715,Genomic_DNABERT2_block,DNABERT2_embedding
1331,dnabert2_emb_307,-0.3100865,0.3100865,Genomic_DNABERT2_block,DNABERT2_embedding
486,protein_emb_486,-0.31008337,0.31008337,Protein_ProtBERT_SW_block,Protein_embedding
1691,dnabert2_emb_667,0.30946933,0.30946933,Genomic_DNABERT2_block,DNABERT2_embedding
1432,dnabert2_emb_408,-0.30937761,0.30937761,Genomic_DNABERT2_block,DNABERT2_embedding
1368,dnabert2_emb_344,0.30931994,0.30931994,Genomic_DNABERT2_block,DNABERT2_embedding
740,protein_emb_740,-0.30870703,0.30870703,Protein_ProtBERT_SW_block,Protein_embedding
497,protein_emb_497,-0.30830202,0.30830202,Protein_ProtBERT_SW_block,Protein_embedding
1749,dnabert2_emb_725,-0.30829741,0.30829741,Genomic_DNABERT2_block,DNABERT2_embedding
275,protein_emb_275,0.30821713,0.30821713,Protein_ProtBERT_SW_block,Protein_embedding
437,protein_emb_437,-0.30816691,0.30816691,Protein_ProtBERT_SW_block,Protein_embedding
1307,dnabert2_emb_283,-0.30800225,0.30800225,Genomic_DNABERT2_block,DNABERT2_embedding
272,protein_emb_272,0.30735496,0.30735496,Protein_ProtBERT_SW_block,Protein_embedding
131,protein_emb_131,-0.30705849,0.30705849,Protein_ProtBERT_SW_block,Protein_embedding
857,protein_emb_857,-0.30630813,0.30630813,Protein_ProtBERT_SW_block,Protein_embedding
618,protein_emb_618,-0.30584707,0.30584707,Protein_ProtBERT_SW_block,Protein_embedding
1388,dnabert2_emb_364,-0.30551939,0.30551939,Genomic_DNABERT2_block,DNABERT2_embedding
1365,dnabert2_emb_341,-0.30494576,0.30494576,Genomic_DNABERT2_block,DNABERT2_embedding
282,protein_emb_282,-0.30451416,0.30451416,Protein_ProtBERT_SW_block,Protein_embedding
826,protein_emb_826,-0.30442906,0.30442906,Protein_ProtBERT_SW_block,Protein_embedding
879,protein_emb_879,-0.30429427,0.30429427,Protein_ProtBERT_SW_block,Protein_embedding
1750,dnabert2_emb_726,-0.30371911,0.30371911,Genomic_DNABERT2_block,DNABERT2_embedding
630,protein_emb_630,-0.30253862,0.30253862,Protein_ProtBERT_SW_block,Protein_embedding
106,protein_emb_106,-0.30211226,0.30211226,Protein_ProtBERT_SW_block,Protein_embedding
37,protein_emb_37,0.3018223,0.3018223,Protein_ProtBERT_SW_block,Protein_embedding
290,protein_emb_290,-0.30171374,0.30171374,Protein_ProtBERT_SW_block,Protein_embedding
1348,dnabert2_emb_324,-0.30134366,0.30134366,Genomic_DNABERT2_block,DNABERT2_embedding
194,protein_emb_194,0.30098046,0.30098046,Protein_ProtBERT_SW_block,Protein_embedding
1631,dnabert2_emb_607,-0.30068656,0.30068656,Genomic_DNABERT2_block,DNABERT2_embedding
973,protein_emb_973,0.30064897,0.30064897,Protein_ProtBERT_SW_block,Protein_embedding
1224,dnabert2_emb_200,0.29982852,0.29982852,Genomic_DNABERT2_block,DNABERT2_embedding
1087,dnabert2_emb_63,0.2996177,0.2996177,Genomic_DNABERT2_block,DNABERT2_embedding
1105,dnabert2_emb_81,0.29944984,0.29944984,Genomic_DNABERT2_block,DNABERT2_embedding
1181,dnabert2_emb_157,-0.29936841,0.29936841,Genomic_DNABERT2_block,DNABERT2_embedding
1484,dnabert2_emb_460,0.29931027,0.29931027,Genomic_DNABERT2_block,DNABERT2_embedding
170,protein_emb_170,-0.29809289,0.29809289,Protein_ProtBERT_SW_block,Protein_embedding
326,protein_emb_326,0.29797984,0.29797984,Protein_ProtBERT_SW_block,Protein_embedding
358,protein_emb_358,0.29778703,0.29778703,Protein_ProtBERT_SW_block,Protein_embedding
99,protein_emb_99,0.29748957,0.29748957,Protein_ProtBERT_SW_block,Protein_embedding
1599,dnabert2_emb_575,-0.29602172,0.29602172,Genomic_DNABERT2_block,DNABERT2_embedding
1764,dnabert2_emb_740,0.29569487,0.29569487,Genomic_DNABERT2_block,DNABERT2_embedding
146,protein_emb_146,-0.29554381,0.29554381,Protein_ProtBERT_SW_block,Protein_embedding
929,protein_emb_929,0.29544949,0.29544949,Protein_ProtBERT_SW_block,Protein_embedding
109,protein_emb_109,-0.29517641,0.29517641,Protein_ProtBERT_SW_block,Protein_embedding
491,protein_emb_491,0.29496081,0.29496081,Protein_ProtBERT_SW_block,Protein_embedding
238,protein_emb_238,-0.29472441,0.29472441,Protein_ProtBERT_SW_block,Protein_embedding
1740,dnabert2_emb_716,0.29422616,0.29422616,Genomic_DNABERT2_block,DNABERT2_embedding
1096,dnabert2_emb_72,0.29412939,0.29412939,Genomic_DNABERT2_block,DNABERT2_embedding
454,protein_emb_454,0.29392562,0.29392562,Protein_ProtBERT_SW_block,Protein_embedding
482,protein_emb_482,-0.29392212,0.29392212,Protein_ProtBERT_SW_block,Protein_embedding
127,protein_emb_127,-0.29367019,0.29367019,Protein_ProtBERT_SW_block,Protein_embedding
450,protein_emb_450,-0.29260745,0.29260745,Protein_ProtBERT_SW_block,Protein_embedding
1173,dnabert2_emb_149,0.29189368,0.29189368,Genomic_DNABERT2_block,DNABERT2_embedding
142,protein_emb_142,0.2911666,0.2911666,Protein_ProtBERT_SW_block,Protein_embedding
737,protein_emb_737,0.29070241,0.29070241,Protein_ProtBERT_SW_block,Protein_embedding
299,protein_emb_299,-0.29005173,0.29005173,Protein_ProtBERT_SW_block,Protein_embedding
359,protein_emb_359,0.28935417,0.28935417,Protein_ProtBERT_SW_block,Protein_embedding
1256,dnabert2_emb_232,-0.28916539,0.28916539,Genomic_DNABERT2_block,DNABERT2_embedding
1213,dnabert2_emb_189,0.28909917,0.28909917,Genomic_DNABERT2_block,DNABERT2_embedding
1746,dnabert2_emb_722,-0.28840178,0.28840178,Genomic_DNABERT2_block,DNABERT2_embedding
1336,dnabert2_emb_312,-0.2883669,0.2883669,Genomic_DNABERT2_block,DNABERT2_embedding
1448,dnabert2_emb_424,-0.28825777,0.28825777,Genomic_DNABERT2_block,DNABERT2_embedding
1257,dnabert2_emb_233,-0.28755558,0.28755558,Genomic_DNABERT2_block,DNABERT2_embedding
881,protein_emb_881,-0.28716763,0.28716763,Protein_ProtBERT_SW_block,Protein_embedding
195,protein_emb_195,-0.28702143,0.28702143,Protein_ProtBERT_SW_block,Protein_embedding
1043,dnabert2_emb_19,-0.28628274,0.28628274,Genomic_DNABERT2_block,DNABERT2_embedding
252,protein_emb_252,0.28561209,0.28561209,Protein_ProtBERT_SW_block,Protein_embedding
414,protein_emb_414,0.28531779,0.28531779,Protein_ProtBERT_SW_block,Protein_embedding
1159,dnabert2_emb_135,0.2852179,0.2852179,Genomic_DNABERT2_block,DNABERT2_embedding
1421,dnabert2_emb_397,-0.28515544,0.28515544,Genomic_DNABERT2_block,DNABERT2_embedding
925,protein_emb_925,0.28399564,0.28399564,Protein_ProtBERT_SW_block,Protein_embedding
1046,dnabert2_emb_22,0.28390336,0.28390336,Genomic_DNABERT2_block,DNABERT2_embedding
320,protein_emb_320,-0.28313239,0.28313239,Protein_ProtBERT_SW_block,Protein_embedding
1543,dnabert2_emb_519,-0.28237897,0.28237897,Genomic_DNABERT2_block,DNABERT2_embedding
665,protein_emb_665,0.28195777,0.28195777,Protein_ProtBERT_SW_block,Protein_embedding
1064,dnabert2_emb_40,0.28187836,0.28187836,Genomic_DNABERT2_block,DNABERT2_embedding
1485,dnabert2_emb_461,0.28145871,0.28145871,Genomic_DNABERT2_block,DNABERT2_embedding
596,protein_emb_596,-0.28124878,0.28124878,Protein_ProtBERT_SW_block,Protein_embedding
864,protein_emb_864,0.28074869,0.28074869,Protein_ProtBERT_SW_block,Protein_embedding
1711,dnabert2_emb_687,-0.28039453,0.28039453,Genomic_DNABERT2_block,DNABERT2_embedding
412,protein_emb_412,0.27973997,0.27973997,Protein_ProtBERT_SW_block,Protein_embedding
1633,dnabert2_emb_609,0.27914613,0.27914613,Genomic_DNABERT2_block,DNABERT2_embedding
71,protein_emb_71,0.27910978,0.27910978,Protein_ProtBERT_SW_block,Protein_embedding
1601,dnabert2_emb_577,-0.27904208,0.27904208,Genomic_DNABERT2_block,DNABERT2_embedding
1347,dnabert2_emb_323,0.27891804,0.27891804,Genomic_DNABERT2_block,DNABERT2_embedding
1252,dnabert2_emb_228,-0.27874977,0.27874977,Genomic_DNABERT2_block,DNABERT2_embedding
42,protein_emb_42,-0.27751896,0.27751896,Protein_ProtBERT_SW_block,Protein_embedding
1693,dnabert2_emb_669,-0.27748396,0.27748396,Genomic_DNABERT2_block,DNABERT2_embedding
20,protein_emb_20,-0.27744079,0.27744079,Protein_ProtBERT_SW_block,Protein_embedding
1081,dnabert2_emb_57,0.27707688,0.27707688,Genomic_DNABERT2_block,DNABERT2_embedding
1261,dnabert2_emb_237,-0.27678045,0.27678045,Genomic_DNABERT2_block,DNABERT2_embedding
784,protein_emb_784,-0.27671535,0.27671535,Protein_ProtBERT_SW_block,Protein_embedding
1562,dnabert2_emb_538,0.27611379,0.27611379,Genomic_DNABERT2_block,DNABERT2_embedding
1410,dnabert2_emb_386,0.27570439,0.27570439,Genomic_DNABERT2_block,DNABERT2_embedding
79,protein_emb_79,-0.27528573,0.27528573,Protein_ProtBERT_SW_block,Protein_embedding
438,protein_emb_438,0.27480736,0.27480736,Protein_ProtBERT_SW_block,Protein_embedding
