feature_index,feature_name,feature_group,importance_mean_pr_auc_drop,importance_sd_pr_auc_drop
309,genomic_feature_309,Other_basic,-7.7e-05,0.000858
259,genomic_feature_259,Other_basic,-7.9e-05,0.001474
321,genomic_feature_321,Other_basic,-7.9e-05,0.000995
176,genomic_feature_176,Other_basic,-9.2e-05,0.00049
285,genomic_feature_285,Other_basic,-9.5e-05,0.000719
216,genomic_feature_216,Other_basic,-0.000107,0.001678
333,genomic_feature_333,Other_basic,-0.000109,0.0006
84,genomic_feature_84,Other_basic,-0.000109,0.00125
157,genomic_feature_157,Other_basic,-0.000114,0.00074
208,genomic_feature_208,Other_basic,-0.000117,0.000454
188,genomic_feature_188,Other_basic,-0.000117,0.000658
144,genomic_feature_144,Other_basic,-0.000118,0.000707
349,genomic_feature_349,Other_basic,-0.000124,0.000519
291,genomic_feature_291,Other_basic,-0.000125,0.000512
244,genomic_feature_244,Other_basic,-0.000127,0.000702
340,genomic_feature_340,Other_basic,-0.000128,0.000702
106,genomic_feature_106,Other_basic,-0.000136,0.000598
224,genomic_feature_224,Other_basic,-0.000147,0.0006
275,genomic_feature_275,Other_basic,-0.000153,0.00118
234,genomic_feature_234,Other_basic,-0.000155,0.000978
133,genomic_feature_133,Other_basic,-0.000155,0.000955
229,genomic_feature_229,Other_basic,-0.000156,0.001163
109,genomic_feature_109,Other_basic,-0.000158,0.000594
276,genomic_feature_276,Other_basic,-0.00017,0.000523
72,genomic_feature_72,Other_basic,-0.000173,0.001067
304,genomic_feature_304,Other_basic,-0.000178,0.000437
164,genomic_feature_164,Other_basic,-0.000189,0.000531
330,genomic_feature_330,Other_basic,-0.000197,0.000643
100,genomic_feature_100,Other_basic,-0.000204,0.000818
30,genomic_feature_30,Other_basic,-0.000206,0.000953
175,genomic_feature_175,Other_basic,-0.000215,0.000707
1,genomic_feature_1,Other_basic,-0.000226,0.000696
125,genomic_feature_125,Other_basic,-0.000234,0.001006
101,genomic_feature_101,Other_basic,-0.000238,0.000541
207,genomic_feature_207,Other_basic,-0.000245,0.000464
130,genomic_feature_130,Other_basic,-0.000246,0.00065
154,genomic_feature_154,Other_basic,-0.00025,0.000696
42,genomic_feature_42,Other_basic,-0.000258,0.001031
10,genomic_feature_10,Other_basic,-0.00026,0.000761
11,genomic_feature_11,Other_basic,-0.000266,0.000996
210,genomic_feature_210,Other_basic,-0.000277,0.000462
215,genomic_feature_215,Other_basic,-0.000277,0.000806
113,genomic_feature_113,Other_basic,-0.000293,0.000506
336,genomic_feature_336,Other_basic,-0.000298,0.000514
279,genomic_feature_279,Other_basic,-0.000318,0.00051
135,genomic_feature_135,Other_basic,-0.00032,0.000635
132,genomic_feature_132,Other_basic,-0.000323,0.000561
298,genomic_feature_298,Other_basic,-0.000329,0.000477
280,genomic_feature_280,Other_basic,-0.000342,0.000676
324,genomic_feature_324,Other_basic,-0.000346,0.000612
139,genomic_feature_139,Other_basic,-0.000353,0.000479
63,genomic_feature_63,Other_basic,-0.000358,0.000646
82,genomic_feature_82,Other_basic,-0.00036,0.000806
348,genomic_feature_348,Other_basic,-0.00037,0.000462
192,genomic_feature_192,Other_basic,-0.000393,0.000683
299,genomic_feature_299,Other_basic,-0.000393,0.000628
328,genomic_feature_328,Other_basic,-0.000398,0.000696
204,genomic_feature_204,Other_basic,-0.000399,0.000448
116,genomic_feature_116,Other_basic,-0.000399,0.000542
126,genomic_feature_126,Other_basic,-0.000403,0.000487
124,genomic_feature_124,Other_basic,-0.000406,0.000429
134,genomic_feature_134,Other_basic,-0.000409,0.000809
307,genomic_feature_307,Other_basic,-0.000412,0.000733
89,genomic_feature_89,Other_basic,-0.000421,0.000738
13,genomic_feature_13,Other_basic,-0.000421,0.001153
257,genomic_feature_257,Other_basic,-0.000437,0.000914
152,genomic_feature_152,Other_basic,-0.000437,0.000379
147,genomic_feature_147,Other_basic,-0.000452,0.000398
167,genomic_feature_167,Other_basic,-0.000466,0.00062
