protein_embedding_cluster,n_samples,n_positive,n_negative,genes,positive_rate
36,16,10,6,FAM185A; CCDC57; ARF5; CYP7B1; CDH24; EML5; IER5L; ACSL1; KRT77; AGTR1; GCK; TCEANC2; MAN1A2; CRY2; NELL1; AAR2,0.625
37,20,13,7,BOD1L1; EIF2B2; KIFC3; AREL1; NDUFA9; KMT5B; TRMT9B; SH2B3; TP53INP1; RAB11FIP4; GRM7; UNC5C; DDC; ZNF431; CDKN2C; CENPW; FOXP1; CAND2; SIX3; USP44,0.65
38,23,8,15,BNC1; OR2T34; TTI1; USP27X; POTEB; SLC12A8; GPR85; FOXD4L5; TRPC7; TNRC6A; ZNF541; TFAP2E; GOPC; KIF2A; MAGI2; ANK1; RAET1L; PABPC4L; PPARD; GOLT1B,0.3478
39,15,10,5,ZNRF3; SLCO6A1; FBXL13; CFAP65; CMIP; CEP68; ZZZ3; PTGS2; PCM1; PTGS1; NFATC1; TOM1; FGGY; ENGASE; ITPKB,0.6667
40,2,0,2,TMEM200C; USP29,0.0
41,5,2,3,FEM1C; WDR11; SNTB1; GAL3ST2; OR1L1,0.4
42,29,18,11,TM6SF2; CNTN2; SPTBN4; DDX28; DYNLT3; WSCD2; ZFAND3; QSER1; L3MBTL3; CCDC81; LRP12; KLHL21; EXOC1; IL13RA1; TOMM7; PLCB4; FAM184A; PGM1; CIC; BACH2,0.6207
43,18,11,7,KICS2; XDH; CEP63; DGKD; CASR; CNGA4; FBXO15; ITGA11; HERC2; OASL; PAX2; ERAP1; BCORL1; PLEKHA4; GPR12; RNF166; TFAP2B; CYTH1,0.6111
44,11,5,6,THUMPD2; STPG2; KRTAP7-1; NDUFA6; MOCOS; CHMP4B; C10ORF67; NR3C2; QKI; CPSF3; SLC35F1,0.4545
45,21,7,14,RPP40; CABIN1; SMIM41; CSMD3; USP54; LRRC37A3; SCAF1; KRT15; SPDYE3; SMCO2; ZC3H6; MNT; SLC26A8; ZNF709; PPP2R3A; MDGA2; SNF8; GLIS3; CADPS; INTS2,0.3333
46,24,14,10,KCNK17; PROX1; ARAP1; COL23A1; MYO5C; SDCBP; PHF13; NUP85; COMT; RGS18; FIBCD1; NDUFA11; REV3L; DRC7; PNLIP; MORF4L2; EIF4E2; KSR2; SNX8; TSEN15,0.5833
47,19,13,6,HHIP; TMEM144; PRKD1; ZNF711; DGLUCY; CASS4; NUS1; HMBS; ARHGAP30; CHD1L; DRD3; FXYD2; DOCK9; DDX20; SLC9B1; ADCY1; SNRNP35; FAIM2; MFHAS1,0.6842
48,16,9,7,AKAP17A; EIF1; KIF3C; PLEKHA1; SSR1; RAB5IF; HMGA2; GPAT4; GPR156; DPH7; ARPP21; CCDC152; ACVR1C; DPRX; PENK; PEPD,0.5625
49,2,1,1,NDUFA8; C9ORF40,0.5
50,14,6,8,ATG16L1; CFAP119; NEPRO; TTC9C; PDE3A; PRDM14; SKI; RNF150; DHFR2; OR5I1; ACTRT3; DDX47; FOXA2; GAREM1,0.4286
51,3,2,1,SP9; MT4; GPR176,0.6667
52,23,13,10,DIP2B; ATP8B4; RNPEPL1; CACNA1I; NDUFB4; SV2A; GNPDA2; ABCC8; ANGPTL4; ZIK1; VDR; CLEC2D; ZNF329; NCOR2; VPS33B; TBL2; SOCS2; KCNH7; ZFPM2; CCDC18,0.5652
53,17,8,9,ZCCHC8; KCNJ12; IGF1R; PSTPIP1; FEM1A; SEPTIN9; RPTN; HTR1E; ZNF599; HOXD11; ULBP1; POLQ; OR4D1; NDUFC2; PPP1R3B; ZZEF1; SGSM1,0.4706
54,15,6,9,PSENEN; BICRA; DMD; HDHD5; LRMDA; PGBD5; NDUFA10; REL; STOX2; SEMA6D; FSCB; NSD3; PABPC1L; DDI1; CCDC92,0.4
55,7,4,3,PTPRG; DACH1; FMNL1; ZBBX; RAD21L1; RNF138; ETV1,0.5714
56,18,9,9,KRT9; ZNF816; PPP1R3A; GMDS; NBPF1; ANKIB1; PKIG; NCR3LG1; TRIP10; KCP; DYRK2; PTEN; IGF2BP3; LTK; TENM4; SYNPO2L; ATP9B; OR6A2,0.5
57,23,11,12,C20ORF96; ZHX3; SHQ1; SEPTIN4; TECTB; PRSS37; RAB11FIP1; GLI2; CUL3; HCN1; ZNF544; ATP1A2; MARCHF10; ANAPC2; NR1H4; ADO; ACTN1; CERS3; DNAJC10; NRG3,0.4783
58,8,6,2,SORT1; OR52E6; A1CF; CDKL2; PHGDH; STK24; BHMT; KRT81,0.75
59,6,4,2,ASB1; TFEB; NR2F1; ESR1; CCDC80; ERBB4,0.6667
60,25,13,12,PI16; CAMK1D; ACOT6; MRAP; CEP295; SEPHS1; ENPP1; OR52R1; LHX2; SEC23IP; NOS2; JAKMIP1; CCP110; CEP95; BCL2; CSTF3; ACTMAP; SNRNP27; PARD3B; GBP6,0.52
61,27,12,15,GAL3ST4; ATXN7L3; ST6GAL1; ZNF416; MYBL2; SMAD3; IGSF10; JMJD1C; OTOGL; DUSP23; PPP4R3A; GDF6; ZBED3; KDM4B; HOATZ; FTHL17; COXFA4L2; CHD7; CLASP2; CT45A1,0.4444
62,7,1,6,CCDC74B; ALS2; EBF2; NEU2; TNFRSF19; SEPTIN12; SLC12A4,0.1429
63,18,7,11,ATP8B2; BPIFB2; TUBGCP3; PLK5; GDAP2; BEND7; NOS1; EMC7; CLCA1; PLEKHB1; ETV5; CIMAP2; ETAA1; NOL4; TOR1AIP2; HLCS; MITF; TPR,0.3889
64,15,4,11,AK8; CST8; FNDC7; AZIN1; BICDL2; ADAMTS6; PCDHGB4; OR2K2; TPP1; ANGPT4; LIN7A; SHROOM1; TENT5C; APOE; HOXD10,0.2667
65,11,6,5,EVI2A; TAF2; NDUFS6; NOXA1; FEZF1; MAGI1; SCARB2; GRID1; FAM90A14; DTYMK; SLC2A7,0.5455
66,10,5,5,IGSF21; TECPR2; PISD; IFT52; KLHL38; IPCEF1; INS; ETS1; PIGT; AKR1C8,0.5
67,27,14,13,PLEKHM2; KIF21B; TMEM168; PLEKHG1; CCT6B; GDAP1L1; FAF2; SLC49A3; TNS1; BDNF; PWWP2A; MYC; DMRT2; GALC; CDH7; MRAS; RIT2; OR5W2; DRD4; ERF,0.5185
68,3,1,2,SRP68; UMOD; SHISAL1,0.3333
69,10,3,7,UBAP2; RAB27B; PPP2R5D; ZDHHC1; SLC39A11; UNC80; FAM53A; CA12; RHOG; C10ORF71,0.3
