comparison,model_a,model_b,top_k,metric,model_a_value,model_b_value,delta
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,25,average_precision_at_k,0.75673,0.71407,0.04266
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,50,precision_at_k,0.88,0.82,0.06
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,50,recall_at_k,0.04873,0.0454,0.00333
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,50,enrichment_factor_at_k,1.76,1.64,0.12
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,50,ndcg_at_k,0.84981,0.75776,0.09205
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,50,average_precision_at_k,0.81281,0.7472,0.06561
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,100,precision_at_k,0.83,0.77,0.06
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,100,recall_at_k,0.09192,0.08527,0.00665
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,100,enrichment_factor_at_k,1.66,1.54,0.12
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,100,ndcg_at_k,0.82346,0.74325,0.08021
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,100,average_precision_at_k,0.83301,0.76746,0.06555
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,150,precision_at_k,0.8,0.80667,-0.00667
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,150,recall_at_k,0.13289,0.134,-0.00111
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,150,enrichment_factor_at_k,1.6,1.61333,-0.01333
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,150,ndcg_at_k,0.80211,0.77846,0.02365
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,150,average_precision_at_k,0.82669,0.77818,0.04851
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,200,precision_at_k,0.785,0.815,-0.03
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,200,recall_at_k,0.17386,0.18051,-0.00665
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,200,enrichment_factor_at_k,1.57,1.63,-0.06
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,200,ndcg_at_k,0.79015,0.79048,-0.00033
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,200,average_precision_at_k,0.81862,0.78799,0.03063
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,300,precision_at_k,0.8,0.77333,0.02667
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,300,recall_at_k,0.26578,0.25692,0.00886
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,300,enrichment_factor_at_k,1.6,1.54667,0.05333
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,300,ndcg_at_k,0.80105,0.76384,0.03721
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,300,average_precision_at_k,0.81239,0.78912,0.02327
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,500,precision_at_k,0.76,0.734,0.026
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,500,recall_at_k,0.42082,0.40642,0.0144
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,500,enrichment_factor_at_k,1.52,1.468,0.052
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,500,ndcg_at_k,0.76794,0.73459,0.03335
DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,500,average_precision_at_k,0.79996,0.77445,0.02551
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,10,precision_at_k,0.9,0.7,0.2
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,10,recall_at_k,0.00997,0.00775,0.00222
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,10,enrichment_factor_at_k,1.8,1.4,0.4
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,10,ndcg_at_k,0.9216,0.5965,0.3251
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,10,average_precision_at_k,0.94678,0.60833,0.33845
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,25,precision_at_k,0.92,0.8,0.12
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,25,recall_at_k,0.02547,0.02215,0.00332
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,25,enrichment_factor_at_k,1.84,1.6,0.24
