scenario_name,comparison,model_a,model_b,metric,mean_delta,sd_delta,ci95_low,ci95_high,wins_model_a,wins_model_b,ties,wilcoxon_p,wilcoxon_bh_fdr_within_scenario
Random_Negatives_2,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,pr_auc,0.00897,0.0262,-0.00395,0.02141,8,7,0,0.3028,0.40373
Random_Negatives_2,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,mcc,0.02666,0.06915,-0.0078,0.06015,9,6,0,0.22931,0.33354
Random_Negatives_2,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,roc_auc,0.00409,0.01928,-0.00488,0.01386,7,8,0,0.67877,0.77574
Random_Negatives_2,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,f1,0.01741,0.11963,-0.03809,0.07585,8,7,0,0.76154,0.8123
Random_Negatives_2,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,pr_auc,0.02127,0.02111,0.01088,0.03208,13,2,0,0.00153,0.0061
Random_Negatives_2,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,mcc,0.02683,0.04867,0.00608,0.05511,12,3,0,0.02557,0.04092
Random_Negatives_2,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,roc_auc,0.01471,0.01249,0.0086,0.02123,13,2,0,0.00031,0.00244
Random_Negatives_2,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,f1,-0.01897,0.06128,-0.05035,0.00856,6,9,0,0.48871,0.60149
Random_Negatives_2,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,pr_auc,0.03024,0.03353,0.01419,0.04692,14,1,0,0.00153,0.0061
Random_Negatives_2,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,mcc,0.05349,0.07028,0.01812,0.08653,13,2,0,0.01807,0.04092
Random_Negatives_2,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,roc_auc,0.0188,0.02679,0.00554,0.03174,11,4,0,0.02557,0.04092
