gene,source_file,source_file_name,model_guess,gene_col,score_col,rank_col,score_value,rank_value,context_rank,context_score,context_list_name,context_theme,context_group,context_model_name
NDUFB2,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top100_genes.csv,Multimodal_DNABERT2_top100_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.7672387857513145,18.0,18.0,0.7672387857513145,Multimodal_DNABERT2_top100,,,
HHEX,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top100_genes.csv,Multimodal_DNABERT2_top100_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.7532621177071895,26.0,26.0,0.7532621177071895,Multimodal_DNABERT2_top100,,,
SCD5,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top100_genes.csv,Multimodal_DNABERT2_top100_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.74550104985935,31.0,31.0,0.74550104985935,Multimodal_DNABERT2_top100,,,
NEUROD1,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top100_genes.csv,Multimodal_DNABERT2_top100_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.7195274912875872,39.0,39.0,0.7195274912875872,Multimodal_DNABERT2_top100,,,
PDX1,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top100_genes.csv,Multimodal_DNABERT2_top100_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.7017176946600953,47.0,47.0,0.7017176946600953,Multimodal_DNABERT2_top100,,,
IGF2BP2,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top100_genes.csv,Multimodal_DNABERT2_top100_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.6880293477594035,50.0,50.0,0.6880293477594035,Multimodal_DNABERT2_top100,,,
NDUFB1,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top100_genes.csv,Multimodal_DNABERT2_top100_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.6809238029346082,55.0,55.0,0.6809238029346082,Multimodal_DNABERT2_top100,,,
DPP4,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top100_genes.csv,Multimodal_DNABERT2_top100_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.6764723549333719,57.0,57.0,0.6764723549333719,Multimodal_DNABERT2_top100,,,
SLC5A1,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top100_genes.csv,Multimodal_DNABERT2_top100_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.6507516343860136,74.0,74.0,0.6507516343860136,Multimodal_DNABERT2_top100,,,
KCNJ11,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top100_genes.csv,Multimodal_DNABERT2_top100_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.6454657872147738,78.0,78.0,0.6454657872147738,Multimodal_DNABERT2_top100,,,
