split_id,fusion_model,fusion_type,n_train,n_val,n_test,validation_mcc,selected_weight_protein,selected_weight_genomic,roc_auc,pr_auc,accuracy,precision,recall,specificity,f1,mcc,tn,fp,fn,tp,threshold,meta_feature_names
2,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,1156,289,361,0.45411,0.3,0.7,0.68855,0.67549,0.61496,0.63226,0.54444,0.68508,0.58507,0.23185,124,57,82,98,0.52783,
2,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,1156,289,361,0.43031,0.55,0.45,0.72035,0.71638,0.63158,0.64596,0.57778,0.68508,0.60997,0.26441,124,57,76,104,0.53775,
2,Stacking_Protein_HandcraftedGenomic,stacking,1156,289,361,0.42527,,,0.71805,0.71451,0.63989,0.64881,0.60556,0.67403,0.62644,0.28026,122,59,71,109,0.54649,protein_score; handcrafted_genomic_score
2,Stacking_Protein_DNABERT2Genomic,stacking,1156,289,361,0.4289,,,0.7217,0.718,0.63158,0.64072,0.59444,0.66851,0.61671,0.26369,121,60,73,107,0.54613,protein_score; dnabert2_genomic_score
2,Stacking_Protein_Handcrafted_DNABERT2,stacking,1156,289,361,0.42709,,,0.71544,0.71159,0.6482,0.6755,0.56667,0.72928,0.61631,0.29998,132,49,78,102,0.56849,protein_score; handcrafted_genomic_score; dnabert2_genomic_score
3,Protein_only,single_modality,1156,289,361,0.30335,,,0.70684,0.67965,0.65374,0.69784,0.53889,0.76796,0.60815,0.31529,139,42,83,97,0.55575,
3,Handcrafted_genomic_only,single_modality,1156,289,361,0.24364,,,0.67667,0.6667,0.60665,0.71591,0.35,0.86188,0.47015,0.24674,156,25,117,63,0.5734,
3,DNABERT2_genomic_only,single_modality,1156,289,361,0.29646,,,0.69873,0.71099,0.63989,0.70492,0.47778,0.8011,0.56954,0.29479,145,36,94,86,0.56569,
3,Early_fusion_Protein_HandcraftedGenomic,early_fusion,1156,289,361,0.34258,,,0.72864,0.70983,0.65097,0.64674,0.66111,0.64088,0.65385,0.30205,116,65,61,119,0.49192,
3,Early_fusion_Protein_DNABERT2Genomic,early_fusion,1156,289,361,0.34465,,,0.75074,0.73539,0.68421,0.66337,0.74444,0.62431,0.70157,0.3714,113,68,46,134,0.46221,
3,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,1156,289,361,0.337,0.8,0.2,0.72112,0.68798,0.67867,0.72535,0.57222,0.78453,0.63975,0.36515,142,39,77,103,0.5384,
3,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,1156,289,361,0.391,0.4,0.6,0.74773,0.7405,0.69529,0.70115,0.67778,0.71271,0.68927,0.39074,129,52,58,122,0.50475,
3,Stacking_Protein_HandcraftedGenomic,stacking,1156,289,361,0.32185,,,0.72557,0.69195,0.66759,0.6875,0.61111,0.72376,0.64706,0.33705,131,50,70,110,0.5074,protein_score; handcrafted_genomic_score
3,Stacking_Protein_DNABERT2Genomic,stacking,1156,289,361,0.37864,,,0.74405,0.73035,0.68975,0.68681,0.69444,0.68508,0.69061,0.37954,124,57,55,125,0.49011,protein_score; dnabert2_genomic_score
